tier,vaf,n_cells,n_pos,ece,mce,site_class
B_peak,0.01,4138,0,,,clean
C_trough,0.01,74145,0,,,clean
C_trough,0.02,75248,0,,,clean
C_trough,0.05,73472,1,,,clean
C_trough,0.1,75709,53,0.10874964526547279,0.1690056034017053,clean
C_trough,0.25,73615,2258,0.05908288130856259,0.10815353448665155,clean
mid,0.01,40372,0,,,clean
mid,0.02,40201,0,,,clean
mid,0.05,40579,1,,,clean
mid,0.1,40524,101,0.09410939330947407,0.14553598178774474,clean
mid,0.25,42510,2193,0.0478491387776363,0.10496621255930341,clean
C_trough,0.01,22584,0,,,artifact
C_trough,0.02,22739,0,,,artifact
C_trough,0.05,19664,0,,,artifact
C_trough,0.1,18013,9,0.32818652754483274,0.5303544866773333,artifact
C_trough,0.25,22209,604,0.16306165782723908,0.39821879271508753,artifact
mid,0.01,8146,0,,,artifact
mid,0.02,8148,0,,,artifact
mid,0.05,8061,0,,,artifact
mid,0.1,8046,13,0.3615661591404248,0.7160283573215359,artifact
mid,0.25,8582,448,0.16174697039397334,0.42456488292408,artifact
