site_class,mean_pred,obs_freq,count
all,0.027596291966893127,0.003293553454785988,72566
all,0.06048176777138505,8.290155440414508e-05,72375
all,0.07499131013596033,0.000164239570787255,73064
all,0.08771674865365926,0.00011015490533562823,72625
all,0.09913065834590554,5.5068353593898426e-05,72637
all,0.11319096300600781,0.0,72268
all,0.12678734133964384,1.3725140339559972e-05,72859
all,0.14943413857891363,0.0,72957
all,0.25541684318265834,0.0,72246
all,0.5882101152504186,0.07401378782075833,73108
clean,0.023465851835421783,0.0038290278427499697,57717
clean,0.055614225175005194,0.0,57817
clean,0.06966224631896456,0.0,58538
clean,0.07996658878580451,0.0,58035
clean,0.09023722992018283,0.0,58085
clean,0.09940452998951657,0.0,58008
clean,0.11115493682773273,0.0,57611
clean,0.12196665381816016,0.0,58532
clean,0.13590314137411866,0.0,57713
clean,0.23312384882991855,0.07502950886976752,58457
artifact,0.07750677771136152,0.003372333103922918,14530
artifact,0.16739773958397977,0.0,14687
artifact,0.23194980024249637,0.0,14182
artifact,0.27785096890961225,0.0,15053
artifact,0.333728375856465,0.0,14497
artifact,0.3835647314704884,0.0,14690
artifact,0.44370058613534885,0.0,14117
artifact,0.49933482650697286,0.0,15197
artifact,0.5631883591533108,0.0,14572
artifact,0.8391218847741698,0.06988477534601487,14667
