depth,inject_vaf,n_partitions,part_sens,rand_sens,part_median_vaf,rand_median_vaf
500,0.005,5,0.544981684981685,0.024908424908424907,0.006,0.002
500,0.005,10,0.544981684981685,0.024761904761904763,0.006,0.002
500,0.005,19,0.544981684981685,0.026446886446886447,0.006,0.002
500,0.01,5,0.9653846153846153,0.10333333333333335,0.012,0.004
500,0.01,10,0.9653846153846153,0.024908424908424907,0.012,0.002
500,0.01,19,0.9653846153846153,0.024065934065934064,0.012,0.002
500,0.02,5,0.9994505494505495,0.5434065934065935,0.022,0.006
500,0.02,10,0.9994505494505495,0.10791208791208791,0.022,0.004
500,0.02,19,0.9994505494505495,0.10897435897435896,0.022,0.004
500,0.03,5,1.0,0.7410622710622711,0.032,0.008
500,0.03,10,1.0,0.5437728937728937,0.032,0.006
500,0.03,19,1.0,0.10509157509157509,0.032,0.004
500,0.05,5,1.0,0.9631501831501831,0.052,0.012
500,0.05,10,1.0,0.5439926739926739,0.052,0.006
500,0.05,19,1.0,0.10783882783882782,0.052,0.004
500,0.1,5,1.0,0.9994871794871795,0.102,0.022
500,0.1,10,1.0,0.9627106227106227,0.102,0.012
500,0.1,19,1.0,0.7422710622710623,0.102,0.008
500,0.2,5,1.0,1.0,0.202,0.042
500,0.2,10,1.0,0.9991941391941391,0.202,0.022
500,0.2,19,1.0,0.964981684981685,0.202,0.012
2000,0.005,5,0.9703296703296703,0.32362637362637364,0.007,0.003
2000,0.005,10,0.9703296703296703,0.08666666666666667,0.007,0.0025
2000,0.005,19,0.9703296703296703,0.08827838827838828,0.007,0.0025
2000,0.01,5,0.9993406593406593,0.628095238095238,0.012,0.004
2000,0.01,10,0.9993406593406593,0.3284249084249084,0.012,0.003
2000,0.01,19,0.9993406593406593,0.0884981684981685,0.012,0.0025
2000,0.02,5,1.0,0.9154578754578755,0.022,0.006
2000,0.02,10,1.0,0.6229304029304029,0.022,0.004
2000,0.02,19,1.0,0.32388278388278385,0.022,0.003
2000,0.03,5,1.0,0.9883150183150183,0.032,0.008
2000,0.03,10,1.0,0.7937362637362638,0.032,0.005
2000,0.03,19,1.0,0.5057509157509158,0.032,0.0035
2000,0.05,5,1.0,0.9993772893772893,0.052,0.012
2000,0.05,10,1.0,0.9716117216117217,0.052,0.007
2000,0.05,19,1.0,0.714908424908425,0.052,0.0045
2000,0.1,5,1.0,1.0,0.102,0.022
2000,0.1,10,1.0,0.9995604395604395,0.102,0.012
2000,0.1,19,1.0,0.9806959706959708,0.102,0.0075
2000,0.2,5,1.0,1.0,0.2015,0.042
2000,0.2,10,1.0,1.0,0.2015,0.022
2000,0.2,19,1.0,0.9994139194139194,0.2015,0.0125
