sample,modality,tissue,kit,organism,prep,n_cells,percell_median_postdup,callable_frac_ge20,chrM_frac_usable
multiome_pbmc_10k,Multiome,PBMC,arc-2,human,nuclei,11418,58,0.7357,0.0161
pbmc_gran_3k,Multiome,PBMC,arc-2,human,nuclei,2489,65,0.7501,0.027
pbmc_unsorted_3k,Multiome,PBMC,arc-2,human,nuclei,2939,140,0.8809,0.041
e18_mouse_brain_5k,Multiome,brain,arc-2,mouse,nuclei,2189,20,0.5208,0.0011
multiome_brain_3k,Multiome,brain,arc-2,human,nuclei,3203,615,0.9394,0.0228
lymph_node_lymphoma_14k,Multiome,lymph-node,arc-2,human,nuclei,14552,952,0.9827,0.0509
10k_pbmc_ATACv2,scATAC,PBMC,v2-X,human,cells,9116,42,0.7143,0.0026
atac_pbmc_10k,scATAC,PBMC,v2,human,cells,5896,26,0.5711,0.0024
atac_pbmc_1k_nextgem,scATAC,PBMC,v1.2-NG,human,cells,503,46,0.7137,0.0037
atac_pbmc_5k_nextgem,scATAC,PBMC,v1.2-NG,human,cells,2616,28,0.5921,0.003
atac_v1_pbmc_10k,scATAC,PBMC,v1,human,cells,8341,26,0.5881,0.0058
atac_v1_pbmc_5k,scATAC,PBMC,v1,human,cells,4898,36,0.6278,0.0076
8k_mouse_cortex,scATAC,cortex,v2-X,mouse,nuclei,8067,565,0.9993,0.0187
lung_COB11_GSE319044,Multiome,lung,arc-2,human,whole-cell,5644,1323,0.9934,0.0655
mtdogma_PT1rep2_GSE217450,Multiome,PBMC,arc-2,human,enriched,13982,2194,0.9999,0.17
