per_cell_depth,method,recall,recall_lo,recall_hi,random_recall,random_lo,random_hi,gain,clears_random_CI
5,ATAC_gmm_k10,0.26,0.1932,0.3202,0.22,0.1644,0.2933,0.04,False
5,ATAC_ward_k100,0.34,0.2533,0.4068,0.3111,0.2378,0.3822,0.0289,False
5,ATAC_ward_k20,0.2733,0.2,0.34,0.2444,0.1931,0.3067,0.0289,False
5,mtDNA_HO_ward_k50,0.2133,0.1465,0.2802,0.1844,0.1199,0.2423,0.0289,False
5,ATAC_wnn_seurat,0.2733,0.2065,0.347,0.2467,0.1777,0.3134,0.0267,False
5,ATAC_ward_k30,0.3133,0.2533,0.3933,0.2889,0.2177,0.3556,0.0244,False
5,ATAC_gmm_k20,0.2733,0.2065,0.3402,0.2556,0.1956,0.3267,0.0178,False
5,ATAC_gmm_k50,0.3533,0.2798,0.4268,0.3356,0.2644,0.4047,0.0178,False
5,ATAC_kmeans_k20,0.2667,0.1997,0.3333,0.2511,0.1978,0.3089,0.0156,False
5,ATAC_gmm_k30,0.3067,0.24,0.4067,0.2933,0.2266,0.3622,0.0133,False
5,ATAC_ward_k10,0.24,0.1733,0.3067,0.2267,0.1622,0.2868,0.0133,False
5,mtDNA_HO_ward_k20,0.1867,0.1267,0.2467,0.1756,0.1244,0.2333,0.0111,False
5,ATAC_kmeans_k10,0.2467,0.1798,0.3202,0.2378,0.1732,0.3044,0.0089,False
5,ATAC_kmeans_k100,0.34,0.2798,0.4067,0.3356,0.2578,0.4044,0.0044,False
5,ATAC_ward_k50,0.32,0.24,0.38,0.32,0.2622,0.3734,0.0,False
5,ATAC_kmeans_k50,0.3,0.2333,0.3733,0.3067,0.2443,0.3757,-0.0067,False
5,ATAC_kmeans_k30,0.2733,0.2133,0.3537,0.2844,0.2156,0.3401,-0.0111,False
10,ATAC_gmm_k30,0.3933,0.3067,0.4735,0.3356,0.2756,0.4001,0.0578,False
10,ATAC_gmm_k50,0.4067,0.3332,0.4802,0.3644,0.2953,0.4269,0.0422,False
10,ATAC_ward_k30,0.3733,0.3065,0.44,0.3311,0.2644,0.4089,0.0422,False
10,ATAC_gmm_k20,0.3467,0.28,0.44,0.3133,0.2511,0.3689,0.0333,False
10,ATAC_ward_k20,0.34,0.26,0.42,0.3067,0.2355,0.3667,0.0333,False
10,ATAC_wnn_seurat,0.3267,0.2532,0.4,0.2933,0.2308,0.3756,0.0333,False
10,ATAC_kmeans_k10,0.2867,0.213,0.3735,0.2556,0.1911,0.3179,0.0311,False
10,ATAC_ward_k100,0.4133,0.3333,0.5067,0.3844,0.3088,0.4513,0.0289,False
10,ATAC_kmeans_k20,0.3267,0.2598,0.4067,0.3,0.2355,0.3734,0.0267,False
10,ATAC_kmeans_k100,0.4133,0.3398,0.4868,0.3956,0.3244,0.4689,0.0178,False
10,mtDNA_HO_ward_k20,0.2133,0.1467,0.2733,0.1956,0.1422,0.2578,0.0178,False
10,mtDNA_HO_ward_k50,0.2267,0.1533,0.3,0.2156,0.1643,0.2778,0.0111,False
10,ATAC_ward_k10,0.2933,0.2263,0.3667,0.2844,0.2178,0.3446,0.0089,False
10,ATAC_kmeans_k30,0.36,0.2997,0.4335,0.3533,0.2888,0.4357,0.0067,False
10,ATAC_ward_k50,0.3667,0.2933,0.4535,0.3644,0.2909,0.4378,0.0022,False
10,ATAC_gmm_k10,0.28,0.2067,0.34,0.2867,0.2266,0.3493,-0.0067,False
10,ATAC_kmeans_k50,0.38,0.3133,0.4668,0.3911,0.3267,0.46,-0.0111,False
20,ATAC_wnn_seurat,0.3733,0.2933,0.4468,0.3022,0.2311,0.3803,0.0711,False
20,ATAC_ward_k30,0.3733,0.3,0.4535,0.32,0.262,0.3892,0.0533,False
20,ATAC_gmm_k20,0.3533,0.28,0.4335,0.3044,0.2288,0.3601,0.0489,False
20,ATAC_kmeans_k20,0.3667,0.2933,0.4335,0.32,0.2554,0.3912,0.0467,False
20,ATAC_ward_k20,0.3467,0.2798,0.4333,0.3022,0.2356,0.3667,0.0444,False
20,ATAC_kmeans_k10,0.3067,0.2398,0.38,0.2778,0.2176,0.3424,0.0289,False
20,ATAC_kmeans_k30,0.3733,0.3067,0.4402,0.3444,0.2666,0.4112,0.0289,False
20,ATAC_gmm_k30,0.3733,0.2933,0.4535,0.3489,0.28,0.4134,0.0244,False
20,ATAC_gmm_k10,0.3,0.2332,0.3603,0.2778,0.2044,0.3512,0.0222,False
20,mtDNA_HO_ward_k50,0.24,0.18,0.3202,0.22,0.1577,0.2734,0.02,False
20,ATAC_kmeans_k50,0.4,0.32,0.4935,0.3822,0.32,0.4667,0.0178,False
20,ATAC_ward_k50,0.3933,0.3133,0.4668,0.3778,0.2956,0.4533,0.0156,False
20,ATAC_kmeans_k100,0.4467,0.36,0.5202,0.4333,0.3555,0.5112,0.0133,False
20,ATAC_ward_k100,0.4133,0.3467,0.4802,0.4044,0.3221,0.4779,0.0089,False
20,mtDNA_HO_ward_k20,0.2133,0.1533,0.28,0.2067,0.1467,0.2712,0.0067,False
20,ATAC_gmm_k50,0.3933,0.3132,0.48,0.3933,0.3177,0.4644,-0.0,False
20,ATAC_ward_k10,0.2667,0.1867,0.3267,0.2822,0.2333,0.3468,-0.0156,False
