position_1based,learned_profile,sim_coverage,holdout_coverage
1,2.2393984814457426e-06,1787.0,1349.0
2,2.499186533885283e-06,1928.0,1500.0
3,2.6691948917317467e-06,2101.0,1576.0
4,2.9340768275524547e-06,2304.0,1789.0
5,3.0843463872968944e-06,2408.0,1884.0
6,3.3670569149516882e-06,2669.0,2095.0
7,3.4670243763070998e-06,2655.0,2148.0
8,3.6943389221916974e-06,2893.0,2312.0
9,3.921016732653649e-06,3134.0,2408.0
10,4.094208767613342e-06,3139.0,2489.0
11,4.475613285778256e-06,3581.0,2653.0
12,4.639254289398261e-06,3671.0,2749.0
13,4.9264219650115755e-06,3734.0,2904.0
14,5.076691524756016e-06,3987.0,2960.0
15,5.262618268168628e-06,4139.0,3050.0
16,5.386781675584584e-06,4262.0,3155.0
17,5.665035055280856e-06,4307.0,3331.0
18,5.998047681324679e-06,4790.0,3537.0
19,6.327876630255272e-06,4982.0,3692.0
20,6.67871784813318e-06,5148.0,3844.0
21,6.739207713284544e-06,5232.0,3883.0
22,6.8818364479572324e-06,5375.0,3956.0
23,7.126979585675917e-06,5585.0,4080.0
24,7.489918776584098e-06,5697.0,4230.0
25,7.592433179630093e-06,5988.0,4267.0
26,7.789821160650332e-06,6208.0,4330.0
27,7.97956831659882e-06,6210.0,4431.0
28,8.086539867603337e-06,6432.0,4491.0
29,8.217070629245753e-06,6528.0,4575.0
30,8.393446341318676e-06,6567.0,4637.0
31,8.537985282259302e-06,6651.0,4738.0
32,8.775487594906235e-06,6909.0,4843.0
33,8.892646912673086e-06,7065.0,4900.0
34,9.263226928653019e-06,7343.0,5101.0
35,9.367651537966952e-06,7489.0,5158.0
36,9.452974084601506e-06,7459.0,5200.0
37,9.498819035032014e-06,7567.0,5233.0
38,9.760517293739492e-06,7759.0,5354.0
39,9.866852109321363e-06,7897.0,5409.0
40,1.0059146206960433e-05,7969.0,5509.0
41,1.0110721776194754e-05,7818.0,5536.0
42,1.040234659976659e-05,8112.0,5668.0
43,1.0490852823514375e-05,8172.0,5721.0
44,1.0650036679175859e-05,8436.0,5824.0
45,1.0950575798664738e-05,8633.0,5918.0
46,1.1310331312459689e-05,8885.0,6052.0
47,1.1418576334309498e-05,8860.0,6108.0
48,1.1741401193590986e-05,9178.0,6236.0
49,1.190822587432422e-05,9471.0,6306.0
50,1.2159736366269362e-05,9419.0,6380.0
51,1.2399148885184234e-05,9808.0,6463.0
52,1.2499753081962291e-05,9713.0,6502.0
53,1.2892618837734831e-05,10084.0,6717.0
54,1.3140308917144098e-05,10391.0,6825.0
55,1.369872588280458e-05,10848.0,7002.0
56,1.3863003621847232e-05,10732.0,7088.0
57,1.3984620087572605e-05,11085.0,7158.0
58,1.4075036517588327e-05,11033.0,7216.0
59,1.4196016247891053e-05,11236.0,7282.0
60,1.4338644982563742e-05,11196.0,7311.0
61,1.4806008782785856e-05,11641.0,7473.0
62,1.4891968064843057e-05,11671.0,7539.0
63,1.4939723221541503e-05,11718.0,7594.0
64,1.504796824339131e-05,11832.0,7664.0
65,1.5270825641317387e-05,11816.0,7762.0
66,1.5351054304570775e-05,12173.0,7791.0
67,1.5517878985304007e-05,12292.0,7852.0
68,1.563503830307086e-05,12228.0,7902.0
69,1.578403439197001e-05,12295.0,7969.0
70,1.589355288466511e-05,12484.0,8024.0
71,1.604063876729632e-05,12692.0,8086.0
72,1.6023446910884878e-05,12361.0,8080.0
73,1.5983332579258183e-05,12421.0,8072.0
74,1.7026305201552222e-05,13329.0,8461.0
75,1.7146011461009657e-05,13495.0,8540.0
76,1.737905662569807e-05,13429.0,8650.0
77,1.757453440045037e-05,13745.0,8720.0
78,1.7664314095043444e-05,13809.0,8767.0
79,1.7754093789636522e-05,14035.0,8794.0
80,1.784705716134283e-05,14036.0,8839.0
81,1.797313077502672e-05,14214.0,8923.0
82,1.7682779422300177e-05,13768.0,8755.0
83,1.772162028308158e-05,13929.0,8720.0
84,1.7673228390960487e-05,13783.0,8645.0
85,1.7750910112523293e-05,14258.0,8641.0
86,1.7642028355250837e-05,14009.0,8540.0
87,1.7802485681757612e-05,14139.0,8537.0
88,1.7908820497339483e-05,14052.0,8491.0
89,1.789672252430921e-05,14153.0,8423.0
90,1.7896085788886563e-05,14040.0,8383.0
91,1.7756640731327106e-05,14012.0,8271.0
92,1.7713342722587182e-05,13924.0,8270.0
93,1.7556069073193636e-05,13741.0,8164.0
94,1.7679595745186948e-05,13820.0,8176.0
95,1.753378333340103e-05,13676.0,7980.0
96,1.7636297736447024e-05,13750.0,7948.0
97,1.7540150687627488e-05,14065.0,7790.0
98,1.750513023938196e-05,13864.0,7767.0
99,1.742681178239651e-05,13632.0,7673.0
100,1.754906498354453e-05,13820.0,7673.0
101,1.748539144127994e-05,13511.0,7611.0
102,1.7235154420180087e-05,13743.0,7490.0
103,1.7156199227771992e-05,13432.0,7437.0
104,1.7033946026623972e-05,13286.0,7323.0
105,1.7063872591488333e-05,13409.0,7385.0
106,1.7008476609718137e-05,13571.0,7351.0
107,1.7007203138872844e-05,13442.0,7266.0
108,1.6944166332030894e-05,13207.0,7133.0
109,1.672130893410482e-05,13077.0,6976.0
110,1.6485716827725825e-05,12890.0,6838.0
111,1.6225928775286285e-05,12747.0,6711.0
112,1.6217651214791887e-05,12882.0,6696.0
113,1.6288328846705587e-05,13088.0,6686.0
114,1.6173716470629318e-05,12636.0,6611.0
115,1.60043448482055e-05,12362.0,6513.0
116,1.6000524435669624e-05,12460.0,6493.0
117,1.6008801996164022e-05,12442.0,6506.0
118,1.602153670461694e-05,12658.0,6484.0
119,1.625012472134683e-05,12517.0,6500.0
120,1.6207463448029552e-05,12755.0,6441.0
121,1.614060622865173e-05,12833.0,6432.0
122,1.6133602139002626e-05,12384.0,6359.0
123,1.6157161349640525e-05,12870.0,6325.0
124,1.6194092004153988e-05,12585.0,6302.0
125,1.5926663126642698e-05,12373.0,6136.0
126,1.6034271413069858e-05,12362.0,6151.0
127,1.630488396769438e-05,12948.0,6195.0
128,1.6384475895525123e-05,12780.0,6198.0
129,1.6197275681267217e-05,12580.0,6092.0
130,1.6176900147742547e-05,12661.0,6060.0
131,1.6147610318300834e-05,12648.0,6012.0
132,1.627241046113944e-05,12949.0,6060.0
133,1.6146336847455542e-05,12683.0,5973.0
134,1.615461440794994e-05,12630.0,5955.0
135,1.616734911640286e-05,12638.0,5870.0
136,1.5961683574888224e-05,12548.0,5808.0
137,1.5715903701746893e-05,12346.0,5719.0
138,1.578085071485678e-05,12375.0,5695.0
139,1.5675152634697553e-05,12418.0,5625.0
140,1.5579005585878017e-05,12143.0,5599.0
141,1.5540801460519262e-05,12126.0,5582.0
142,1.5382891075703072e-05,11992.0,5525.0
143,1.549431977466611e-05,11962.0,5551.0
144,1.517786226961108e-05,11846.0,5363.0
145,1.4990662055353176e-05,11730.0,5295.0
146,1.4690122935864296e-05,11635.0,5168.0
147,1.4637273895784685e-05,11545.0,5109.0
148,1.4592065680776824e-05,11313.0,5060.0
149,1.4659559635577292e-05,11642.0,5033.0
150,1.4664016783535813e-05,11554.0,4990.0
151,1.4641731043743206e-05,11531.0,5009.0
152,1.4408049143632148e-05,11322.0,4843.0
153,1.4410596085322733e-05,11227.0,4636.0
154,1.4438612443919153e-05,11297.0,4756.0
155,1.434373886594491e-05,11130.0,4776.0
156,1.4281338794525608e-05,11280.0,4720.0
157,1.4261599996423584e-05,11218.0,4679.0
158,1.422148566479689e-05,10985.0,4666.0
159,1.4271151027763274e-05,11065.0,4649.0
160,1.4301714328050277e-05,11168.0,4638.0
161,1.4311265359389968e-05,11070.0,4594.0
162,1.4178824391479614e-05,11065.0,4565.0
163,1.3867460769805753e-05,10769.0,4487.0
164,1.3770040250140925e-05,10715.0,4425.0
165,1.3689811586887537e-05,10694.0,4337.0
