pos	n_partitions	T_obs	null_q95	empirical_p	licensed	shuffleable_frac	enough_pooled_depth	top	feasible_0.005	feasible_0.01	feasible_0.02	feasible_0.05	feasible_0.1	per_cluster
610	8	4.5913268260166765e-06	1.2298197079906038e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00774, ""n"": 1053, ""pooled_depth"": 12235.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.01058, ""n"": 529, ""pooled_depth"": 6756.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00672, ""n"": 714, ""pooled_depth"": 11588.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00663, ""n"": 818, ""pooled_depth"": 12673.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00898, ""n"": 1065, ""pooled_depth"": 17510.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00478, ""n"": 1051, ""pooled_depth"": 6516.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.0101, ""n"": 913, ""pooled_depth"": 11285.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.0047, ""n"": 1224, ""pooled_depth"": 9837.0, ""callable"": false}}"
1782	8	1.9997375021630695e-06	8.482310711506938e-07	0.0	True	1.0	True	preMegE	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00326, ""n"": 951, ""pooled_depth"": 10206.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00543, ""n"": 500, ""pooled_depth"": 5940.0, ""callable"": false}, ""FLT3intCD9lo"": {""vaf"": 0.00426, ""n"": 685, ""pooled_depth"": 10075.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00378, ""n"": 746, ""pooled_depth"": 10854.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00613, ""n"": 992, ""pooled_depth"": 15099.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00563, ""n"": 928, ""pooled_depth"": 5116.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00543, ""n"": 833, ""pooled_depth"": 10182.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00669, ""n"": 1069, ""pooled_depth"": 7667.0, ""callable"": false}}"
1820	8	5.433622332688906e-06	1.0279250518770334e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00542, ""n"": 916, ""pooled_depth"": 9173.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00855, ""n"": 433, ""pooled_depth"": 5008.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00522, ""n"": 624, ""pooled_depth"": 8961.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00458, ""n"": 701, ""pooled_depth"": 9856.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.0069, ""n"": 949, ""pooled_depth"": 13010.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00156, ""n"": 841, ""pooled_depth"": 4447.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00611, ""n"": 785, ""pooled_depth"": 8713.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.00078, ""n"": 1039, ""pooled_depth"": 6983.0, ""callable"": false}}"
2123	8	7.828738949359382e-06	7.389813873045392e-07	0.0	True	1.0	True	STHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00491, ""n"": 1007, ""pooled_depth"": 11364.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00729, ""n"": 508, ""pooled_depth"": 6828.0, ""callable"": false}, ""FLT3intCD9lo"": {""vaf"": 0.0041, ""n"": 705, ""pooled_depth"": 10767.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00335, ""n"": 779, ""pooled_depth"": 11217.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.0076, ""n"": 1099, ""pooled_depth"": 17577.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00088, ""n"": 906, ""pooled_depth"": 5283.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00811, ""n"": 876, ""pooled_depth"": 11151.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00022, ""n"": 1137, ""pooled_depth"": 8730.0, ""callable"": false}}"
2171	8	2.516783886081239e-05	3.2146833349816013e-06	0.0	True	1.0	True	LTHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.01082, ""n"": 789, ""pooled_depth"": 5154.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01436, ""n"": 341, ""pooled_depth"": 3387.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00878, ""n"": 482, ""pooled_depth"": 5173.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.00687, ""n"": 539, ""pooled_depth"": 5678.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.01628, ""n"": 826, ""pooled_depth"": 8599.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00229, ""n"": 517, ""pooled_depth"": 2826.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.01609, ""n"": 587, ""pooled_depth"": 5910.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00531, ""n"": 825, ""pooled_depth"": 4425.0, ""callable"": false}}"
2766	8	9.057323728151648e-06	2.922464612526941e-06	0.0	True	1.0	True	STHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.01481, ""n"": 897, ""pooled_depth"": 9654.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01412, ""n"": 456, ""pooled_depth"": 5425.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.01314, ""n"": 649, ""pooled_depth"": 8950.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.01331, ""n"": 761, ""pooled_depth"": 10476.0, ""callable"": true}, ""LTHSC"": {""vaf"": 0.01459, ""n"": 981, ""pooled_depth"": 14271.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00933, ""n"": 873, ""pooled_depth"": 4879.0, ""callable"": true}, ""STHSC"": {""vaf"": 0.01627, ""n"": 825, ""pooled_depth"": 9244.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00708, ""n"": 1038, ""pooled_depth"": 7323.0, ""callable"": false}}"
2813	8	5.594802163432854e-06	6.833372024911939e-07	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.00718, ""n"": 1036, ""pooled_depth"": 14335.0, ""callable"": false}, ""FLT3intCD9hi"": {""vaf"": 0.00772, ""n"": 609, ""pooled_depth"": 8360.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00644, ""n"": 787, ""pooled_depth"": 13731.0, ""callable"": false}, ""LMPP"": {""vaf"": 0.00536, ""n"": 922, ""pooled_depth"": 15306.0, ""callable"": false}, ""LTHSC"": {""vaf"": 0.00762, ""n"": 1193, ""pooled_depth"": 21477.0, ""callable"": false}, ""MPP2"": {""vaf"": 0.00136, ""n"": 1085, ""pooled_depth"": 7167.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.00724, ""n"": 1028, ""pooled_depth"": 14216.0, ""callable"": false}, ""preMegE"": {""vaf"": 0.0013, ""n"": 1248, ""pooled_depth"": 10574.0, ""callable"": false}}"
2814	8	5.355592350180141e-06	1.3485405113131809e-06	0.0	True	1.0	True	STHSC	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.01071, ""n"": 1025, ""pooled_depth"": 13947.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01067, ""n"": 597, ""pooled_depth"": 8104.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.00982, ""n"": 783, ""pooled_depth"": 13402.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.00973, ""n"": 902, ""pooled_depth"": 14859.0, ""callable"": true}, ""LTHSC"": {""vaf"": 0.01105, ""n"": 1189, ""pooled_depth"": 20908.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00694, ""n"": 1065, ""pooled_depth"": 6945.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.01222, ""n"": 1014, ""pooled_depth"": 13792.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00486, ""n"": 1234, ""pooled_depth"": 10258.0, ""callable"": false}}"
3869	8	2.2486621488886438e-05	2.046025924611509e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.01282, ""n"": 1078, ""pooled_depth"": 14059.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01555, ""n"": 591, ""pooled_depth"": 8393.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.01209, ""n"": 785, ""pooled_depth"": 13187.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.01015, ""n"": 879, ""pooled_depth"": 14573.0, ""callable"": true}, ""LTHSC"": {""vaf"": 0.01433, ""n"": 1150, ""pooled_depth"": 21475.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00135, ""n"": 1011, ""pooled_depth"": 6265.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.01378, ""n"": 996, ""pooled_depth"": 13862.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.0009, ""n"": 1196, ""pooled_depth"": 9552.0, ""callable"": false}}"
3996	8	2.2623598812816315e-05	2.0361739820330838e-06	0.0	True	1.0	True	FLT3intCD9hi	True	True	True	True	True	"{""FLT3int"": {""vaf"": 0.01271, ""n"": 969, ""pooled_depth"": 11972.0, ""callable"": true}, ""FLT3intCD9hi"": {""vaf"": 0.01521, ""n"": 507, ""pooled_depth"": 6607.0, ""callable"": true}, ""FLT3intCD9lo"": {""vaf"": 0.01068, ""n"": 689, ""pooled_depth"": 11492.0, ""callable"": true}, ""LMPP"": {""vaf"": 0.00957, ""n"": 806, ""pooled_depth"": 12652.0, ""callable"": true}, ""LTHSC"": {""vaf"": 0.01385, ""n"": 1091, ""pooled_depth"": 17680.0, ""callable"": true}, ""MPP2"": {""vaf"": 0.00165, ""n"": 959, ""pooled_depth"": 5647.0, ""callable"": false}, ""STHSC"": {""vaf"": 0.01438, ""n"": 901, ""pooled_depth"": 10966.0, ""callable"": true}, ""preMegE"": {""vaf"": 0.00079, ""n"": 1103, ""pooled_depth"": 8309.0, ""callable"": false}}"
