pos	n_partitions	T_obs	null_q95	empirical_p	licensed	shuffleable_frac	enough_pooled_depth	top	feasible_0.005	feasible_0.01	feasible_0.02	feasible_0.05	feasible_0.1	per_cluster	sample
588	9	4.7252587159526793e-07	1.3251289614384907e-06	0.74	False	1.0	True	sub8	False	True	True	True	True	"{""sub1"": {""vaf"": 0.00991, ""n"": 1086, ""pooled_depth"": 19353.0, ""callable"": true}, ""sub2"": {""vaf"": 0.00987, ""n"": 953, ""pooled_depth"": 17208.0, ""callable"": true}, ""sub3"": {""vaf"": 0.00846, ""n"": 769, ""pooled_depth"": 4617.0, ""callable"": false}, ""sub4"": {""vaf"": 0.00952, ""n"": 856, ""pooled_depth"": 17147.0, ""callable"": true}, ""sub5"": {""vaf"": 0.00972, ""n"": 636, ""pooled_depth"": 13924.0, ""callable"": true}, ""sub6"": {""vaf"": 0.00985, ""n"": 408, ""pooled_depth"": 8113.0, ""callable"": true}, ""sub7"": {""vaf"": 0.00967, ""n"": 366, ""pooled_depth"": 2027.0, ""callable"": true}, ""sub8"": {""vaf"": 0.00992, ""n"": 324, ""pooled_depth"": 6212.0, ""callable"": true}, ""sub9"": {""vaf"": 0.00848, ""n"": 227, ""pooled_depth"": 1063.0, ""callable"": false}}"	cll9_2
598	9	7.709643003035017e-07	9.158466732241567e-07	0.14	False	1.0	True	sub7	False	True	True	True	True	"{""sub1"": {""vaf"": 0.0049, ""n"": 1087, ""pooled_depth"": 18885.0, ""callable"": false}, ""sub2"": {""vaf"": 0.00481, ""n"": 952, ""pooled_depth"": 16980.0, ""callable"": false}, ""sub3"": {""vaf"": 0.00557, ""n"": 771, ""pooled_depth"": 4585.0, ""callable"": false}, ""sub4"": {""vaf"": 0.00452, ""n"": 856, ""pooled_depth"": 16839.0, ""callable"": false}, ""sub5"": {""vaf"": 0.00532, ""n"": 637, ""pooled_depth"": 13521.0, ""callable"": false}, ""sub6"": {""vaf"": 0.00584, ""n"": 408, ""pooled_depth"": 7895.0, ""callable"": false}, ""sub7"": {""vaf"": 0.00766, ""n"": 363, ""pooled_depth"": 1996.0, ""callable"": true}, ""sub8"": {""vaf"": 0.00432, ""n"": 324, ""pooled_depth"": 6125.0, ""callable"": false}, ""sub9"": {""vaf"": 0.00429, ""n"": 227, ""pooled_depth"": 1057.0, ""callable"": false}}"	cll9_2
685	9	2.8902015601374164e-07	9.250264279900369e-07	0.815	False	1.0	True	sub9	False	True	True	True	True	"{""sub1"": {""vaf"": 0.0057, ""n"": 1087, ""pooled_depth"": 16889.0, ""callable"": false}, ""sub2"": {""vaf"": 0.00532, ""n"": 952, ""pooled_depth"": 14878.0, ""callable"": false}, ""sub3"": {""vaf"": 0.00586, ""n"": 756, ""pooled_depth"": 4168.0, ""callable"": false}, ""sub4"": {""vaf"": 0.00548, ""n"": 856, ""pooled_depth"": 14823.0, ""callable"": false}, ""sub5"": {""vaf"": 0.00504, ""n"": 632, ""pooled_depth"": 12189.0, ""callable"": false}, ""sub6"": {""vaf"": 0.00504, ""n"": 411, ""pooled_depth"": 6838.0, ""callable"": false}, ""sub7"": {""vaf"": 0.00578, ""n"": 346, ""pooled_depth"": 1691.0, ""callable"": false}, ""sub8"": {""vaf"": 0.00585, ""n"": 323, ""pooled_depth"": 5378.0, ""callable"": false}, ""sub9"": {""vaf"": 0.0061, ""n"": 219, ""pooled_depth"": 851.0, ""callable"": false}}"	cll9_2
686	9	1.4637851083018544e-06	1.7532630745313303e-06	0.13	False	1.0	True	sub7	False	True	True	True	True	"{""sub1"": {""vaf"": 0.00956, ""n"": 1090, ""pooled_depth"": 17819.0, ""callable"": true}, ""sub2"": {""vaf"": 0.00848, ""n"": 954, ""pooled_depth"": 15710.0, ""callable"": true}, ""sub3"": {""vaf"": 0.00996, ""n"": 765, ""pooled_depth"": 4422.0, ""callable"": true}, ""sub4"": {""vaf"": 0.00992, ""n"": 857, ""pooled_depth"": 15654.0, ""callable"": true}, ""sub5"": {""vaf"": 0.01052, ""n"": 632, ""pooled_depth"": 12841.0, ""callable"": true}, ""sub6"": {""vaf"": 0.01024, ""n"": 411, ""pooled_depth"": 7233.0, ""callable"": true}, ""sub7"": {""vaf"": 0.01069, ""n"": 352, ""pooled_depth"": 1828.0, ""callable"": true}, ""sub8"": {""vaf"": 0.00784, ""n"": 323, ""pooled_depth"": 5651.0, ""callable"": false}, ""sub9"": {""vaf"": 0.00949, ""n"": 223, ""pooled_depth"": 916.0, ""callable"": true}}"	cll9_2
735	9	1.0004782026771759e-06	1.112887369431856e-06	0.085	False	1.0	True	sub3	False	True	True	True	True	"{""sub1"": {""vaf"": 0.00771, ""n"": 1095, ""pooled_depth"": 22187.0, ""callable"": false}, ""sub2"": {""vaf"": 0.00694, ""n"": 953, ""pooled_depth"": 19209.0, ""callable"": false}, ""sub3"": {""vaf"": 0.00901, ""n"": 807, ""pooled_depth"": 5539.0, ""callable"": true}, ""sub4"": {""vaf"": 0.00816, ""n"": 857, ""pooled_depth"": 19662.0, ""callable"": true}, ""sub5"": {""vaf"": 0.00806, ""n"": 642, ""pooled_depth"": 16213.0, ""callable"": true}, ""sub6"": {""vaf"": 0.0073, ""n"": 410, ""pooled_depth"": 9014.0, ""callable"": false}, ""sub7"": {""vaf"": 0.0077, ""n"": 378, ""pooled_depth"": 2363.0, ""callable"": false}, ""sub8"": {""vaf"": 0.00612, ""n"": 326, ""pooled_depth"": 6798.0, ""callable"": false}, ""sub9"": {""vaf"": 0.00806, ""n"": 226, ""pooled_depth"": 1208.0, ""callable"": true}}"	cll9_2
826	9	5.482910114637662e-07	1.2348104501082654e-06	0.535	False	1.0	True	sub9	False	True	True	True	True	"{""sub1"": {""vaf"": 0.0059, ""n"": 1095, ""pooled_depth"": 15066.0, ""callable"": false}, ""sub2"": {""vaf"": 0.00515, ""n"": 947, ""pooled_depth"": 13313.0, ""callable"": false}, ""sub3"": {""vaf"": 0.00576, ""n"": 730, ""pooled_depth"": 3711.0, ""callable"": false}, ""sub4"": {""vaf"": 0.00443, ""n"": 854, ""pooled_depth"": 13378.0, ""callable"": false}, ""sub5"": {""vaf"": 0.00534, ""n"": 633, ""pooled_depth"": 10853.0, ""callable"": false}, ""sub6"": {""vaf"": 0.00501, ""n"": 410, ""pooled_depth"": 6218.0, ""callable"": false}, ""sub7"": {""vaf"": 0.00565, ""n"": 358, ""pooled_depth"": 1555.0, ""callable"": false}, ""sub8"": {""vaf"": 0.0053, ""n"": 317, ""pooled_depth"": 4910.0, ""callable"": false}, ""sub9"": {""vaf"": 0.00612, ""n"": 212, ""pooled_depth"": 829.0, ""callable"": false}}"	cll9_2
827	9	5.363291528794584e-07	1.118620202403158e-06	0.48	False	1.0	True	sub3	False	True	True	True	True	"{""sub1"": {""vaf"": 0.00622, ""n"": 1095, ""pooled_depth"": 16109.0, ""callable"": false}, ""sub2"": {""vaf"": 0.00565, ""n"": 948, ""pooled_depth"": 14191.0, ""callable"": false}, ""sub3"": {""vaf"": 0.00659, ""n"": 744, ""pooled_depth"": 3962.0, ""callable"": false}, ""sub4"": {""vaf"": 0.00606, ""n"": 854, ""pooled_depth"": 14364.0, ""callable"": false}, ""sub5"": {""vaf"": 0.00508, ""n"": 634, ""pooled_depth"": 11638.0, ""callable"": false}, ""sub6"": {""vaf"": 0.00596, ""n"": 410, ""pooled_depth"": 6623.0, ""callable"": false}, ""sub7"": {""vaf"": 0.00646, ""n"": 362, ""pooled_depth"": 1682.0, ""callable"": false}, ""sub8"": {""vaf"": 0.00626, ""n"": 321, ""pooled_depth"": 5260.0, ""callable"": false}, ""sub9"": {""vaf"": 0.00585, ""n"": 214, ""pooled_depth"": 870.0, ""callable"": false}}"	cll9_2
876	9	1.8387773709137492e-06	1.98648779469159e-06	0.075	False	1.0	True	sub7	False	True	True	True	True	"{""sub1"": {""vaf"": 0.00899, ""n"": 1088, ""pooled_depth"": 13697.0, ""callable"": true}, ""sub2"": {""vaf"": 0.0095, ""n"": 948, ""pooled_depth"": 12062.0, ""callable"": true}, ""sub3"": {""vaf"": 0.00724, ""n"": 737, ""pooled_depth"": 3444.0, ""callable"": false}, ""sub4"": {""vaf"": 0.00954, ""n"": 854, ""pooled_depth"": 12322.0, ""callable"": true}, ""sub5"": {""vaf"": 0.00949, ""n"": 630, ""pooled_depth"": 9872.0, ""callable"": true}, ""sub6"": {""vaf"": 0.01087, ""n"": 409, ""pooled_depth"": 5727.0, ""callable"": true}, ""sub7"": {""vaf"": 0.01242, ""n"": 355, ""pooled_depth"": 1421.0, ""callable"": true}, ""sub8"": {""vaf"": 0.00839, ""n"": 322, ""pooled_depth"": 4504.0, ""callable"": true}, ""sub9"": {""vaf"": 0.0069, ""n"": 206, ""pooled_depth"": 769.0, ""callable"": false}}"	cll9_2
1061	9	3.886117541333688e-06	3.600032120345842e-06	0.02	True	1.0	True	sub7	False	False	True	True	True	"{""sub1"": {""vaf"": 0.00558, ""n"": 1072, ""pooled_depth"": 7565.0, ""callable"": false}, ""sub2"": {""vaf"": 0.00733, ""n"": 942, ""pooled_depth"": 7026.0, ""callable"": false}, ""sub3"": {""vaf"": 0.00867, ""n"": 618, ""pooled_depth"": 1946.0, ""callable"": true}, ""sub4"": {""vaf"": 0.00588, ""n"": 848, ""pooled_depth"": 6987.0, ""callable"": false}, ""sub5"": {""vaf"": 0.00566, ""n"": 626, ""pooled_depth"": 5334.0, ""callable"": false}, ""sub6"": {""vaf"": 0.0058, ""n"": 403, ""pooled_depth"": 3131.0, ""callable"": false}, ""sub7"": {""vaf"": 0.01369, ""n"": 279, ""pooled_depth"": 702.0, ""callable"": true}, ""sub8"": {""vaf"": 0.00646, ""n"": 314, ""pooled_depth"": 2762.0, ""callable"": false}, ""sub9"": {""vaf"": 0.01112, ""n"": 174, ""pooled_depth"": 428.0, ""callable"": true}}"	cll9_2
1071	9	2.979064078163099e-06	3.158461201414981e-06	0.07	False	1.0	True	sub9	False	False	True	True	True	"{""sub1"": {""vaf"": 0.00543, ""n"": 1063, ""pooled_depth"": 6738.0, ""callable"": false}, ""sub2"": {""vaf"": 0.00574, ""n"": 933, ""pooled_depth"": 6153.0, ""callable"": false}, ""sub3"": {""vaf"": 0.00626, ""n"": 596, ""pooled_depth"": 1740.0, ""callable"": false}, ""sub4"": {""vaf"": 0.00528, ""n"": 840, ""pooled_depth"": 6186.0, ""callable"": false}, ""sub5"": {""vaf"": 0.00856, ""n"": 622, ""pooled_depth"": 4800.0, ""callable"": true}, ""sub6"": {""vaf"": 0.00744, ""n"": 402, ""pooled_depth"": 2815.0, ""callable"": false}, ""sub7"": {""vaf"": 0.00907, ""n"": 263, ""pooled_depth"": 625.0, ""callable"": true}, ""sub8"": {""vaf"": 0.00522, ""n"": 310, ""pooled_depth"": 2435.0, ""callable"": false}, ""sub9"": {""vaf"": 0.00924, ""n"": 170, ""pooled_depth"": 382.0, ""callable"": true}}"	cll9_2
